sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
0,0,A,Business,gpt-4o-mini,-0.20813362890233597,3,889
0,1,A,Business,gpt-4o-mini,-0.6918348781764507,3,850
0,2,A,Business,gpt-4o-mini,-0.9191304299359521,3,748
1,0,A,Business,gpt-4o-mini,0.30173570895567536,3,871
1,1,A,Business,gpt-4o-mini,-0.3934110050710539,3,905
1,2,A,Business,gpt-4o-mini,0.8522291594805816,3,841
2,0,A,Business,gpt-4o-mini,0.9790998722116152,3,894
2,1,A,Business,gpt-4o-mini,0.5274320550573369,3,868
2,2,A,Business,gpt-4o-mini,0.9779144092462957,3,879
3,0,A,Business,gpt-4o-mini,-0.6966085244591037,3,830
3,1,A,Business,gpt-4o-mini,-0.8735687111814817,3,785
3,2,A,Business,gpt-4o-mini,-0.20212251708532372,3,729
4,0,A,Business,gpt-4o-mini,-0.877645272295922,3,899
4,1,A,Business,gpt-4o-mini,-0.2791823484003544,3,927
4,2,A,Business,gpt-4o-mini,-0.9687499282881618,3,867
5,0,A,Business,gpt-4o-mini,0.9452261311622957,3,883
5,1,A,Business,gpt-4o-mini,0.9903960929950699,3,914
5,2,A,Business,gpt-4o-mini,0.5091900501089791,3,892
6,0,A,Business,gpt-4o-mini,0.9546166786458343,4,1012
6,1,A,Business,gpt-4o-mini,0.7415584574143091,3,934
6,2,A,Business,gpt-4o-mini,0.3430705505112807,3,909
7,0,A,Business,gpt-4o-mini,-0.19479824074854454,3,891
7,1,A,Business,gpt-4o-mini,0.16585006875296435,3,904
7,2,A,Business,gpt-4o-mini,-0.3499545883387327,3,930
8,0,A,Business,gpt-4o-mini,-0.3210093944023053,3,765
8,1,A,Business,gpt-4o-mini,-0.3363453516115745,3,838
8,2,A,Business,gpt-4o-mini,-0.3730871472119664,3,832
9,0,A,Business,gpt-4o-mini,0.12661001862337193,3,886
9,1,A,Business,gpt-4o-mini,0.06555748730897903,3,858
9,2,A,Business,gpt-4o-mini,-0.9801904683311781,3,811
10,0,A,Foreign,gpt-4o-mini,0.3441605481008689,3,890
10,1,A,Foreign,gpt-4o-mini,0.9905966428729395,3,932
10,2,A,Foreign,gpt-4o-mini,0.9371698014438152,3,904
11,0,A,Foreign,gpt-4o-mini,0.9426468229309345,3,838
11,1,A,Foreign,gpt-4o-mini,0.6496678016458949,3,964
11,2,A,Foreign,gpt-4o-mini,0.4191562790268411,3,849
12,0,A,Foreign,gpt-4o-mini,0.5004110122099519,3,886
12,1,A,Foreign,gpt-4o-mini,-0.01892677554860711,3,826
12,2,A,Foreign,gpt-4o-mini,0.1481772892487546,3,819
13,0,A,Foreign,gpt-4o-mini,0.8331305804507186,3,782
13,1,A,Foreign,gpt-4o-mini,0.37633531594959396,3,910
13,2,A,Foreign,gpt-4o-mini,0.6260248099764189,3,876
14,0,A,Foreign,gpt-4o-mini,-0.27227960899472237,3,890
14,1,A,Foreign,gpt-4o-mini,0.7039549740341803,3,965
14,2,A,Foreign,gpt-4o-mini,-0.010435218612353006,3,861
15,0,A,Foreign,gpt-4o-mini,0.9899086675917109,3,769
15,1,A,Foreign,gpt-4o-mini,0.9632534670333067,3,810
15,2,A,Foreign,gpt-4o-mini,0.7577678794429327,3,862
16,0,A,Foreign,gpt-4o-mini,0.9330567987635732,3,908
16,1,A,Foreign,gpt-4o-mini,0.9796485377009958,3,903
16,2,A,Foreign,gpt-4o-mini,0.8165808552294038,4,993
17,0,A,Foreign,gpt-4o-mini,0.8493722093602022,3,925
