model,prompt,desk,n,deviation,wilcoxon_stat,p_value
GPT-4o-mini,A,Business,40,0.7734830461777448,11.0,1.000444171950221e-10
GPT-4o-mini,A,Foreign,40,1.0361574907855782,6.0,2.546585164964199e-11
GPT-4o-mini,E,Business,40,0.5557352684991889,44.0,2.6917405193671584e-08
GPT-4o-mini,E,Foreign,40,0.8375547222821316,26.0,1.9444996723905206e-09
Gemini-2.5-Flash,A,Business,40,0.4995130971582613,78.0,1.1621450539678335e-06
Gemini-2.5-Flash,A,Foreign,40,0.6943248323989085,35.0,7.839844329282641e-09
Gemini-2.5-Flash,E,Business,40,0.42426558582154633,92.0,4.153314876020886e-06
Gemini-2.5-Flash,E,Foreign,40,0.5851912002233115,67.0,3.8751750253140926e-07
Claude-Haiku-4.5,A,Business,40,0.27353282633065346,170.0,0.0008912169196264585
Claude-Haiku-4.5,A,Foreign,40,0.4743595833665313,87.0,2.6737125153886154e-06
Claude-Haiku-4.5,E,Business,40,0.08490383042338281,319.0,0.22650754260575923
Claude-Haiku-4.5,E,Foreign,40,0.25441029347254596,221.0,0.01019742315656913
