sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
0,0,A,Business,Gemini-3-Flash,-0.9850272728945129,4,1298
0,1,A,Business,Gemini-3-Flash,-0.9930085379164666,4,1222
0,2,A,Business,Gemini-3-Flash,-0.9952573352493346,4,1305
1,0,A,Business,Gemini-3-Flash,-0.8714232825441286,5,1278
1,1,A,Business,Gemini-3-Flash,-0.6173687683418393,5,1288
1,2,A,Business,Gemini-3-Flash,-0.8163011828437448,4,1221
2,0,A,Business,Gemini-3-Flash,-0.15778184300870635,4,1143
2,1,A,Business,Gemini-3-Flash,-0.30575031507760286,4,1284
2,2,A,Business,Gemini-3-Flash,0.22284578904509544,4,1240
3,0,A,Business,Gemini-3-Flash,-0.9791139185545035,4,1168
3,1,A,Business,Gemini-3-Flash,-0.8975028282002313,4,1244
3,2,A,Business,Gemini-3-Flash,-0.974087953029084,4,1246
4,0,A,Business,Gemini-3-Flash,-0.22964841459179297,4,1163
4,1,A,Business,Gemini-3-Flash,-0.9484072171035223,4,1177
4,2,A,Business,Gemini-3-Flash,-0.9874107438954525,4,1287
5,0,A,Business,Gemini-3-Flash,0.07502874912461266,4,1174
5,1,A,Business,Gemini-3-Flash,0.5173538711853325,5,1243
5,2,A,Business,Gemini-3-Flash,0.3544481375720352,4,1247
6,0,A,Business,Gemini-3-Flash,-0.7342442529916298,4,1221
6,1,A,Business,Gemini-3-Flash,-0.9860573102487251,4,1166
6,2,A,Business,Gemini-3-Flash,-0.6770175958517939,4,1173
7,0,A,Business,Gemini-3-Flash,-0.17766828346066177,4,1243
7,1,A,Business,Gemini-3-Flash,-0.5004346640780568,4,1205
7,2,A,Business,Gemini-3-Flash,0.08735071681439877,4,1233
8,0,A,Business,Gemini-3-Flash,-0.9006155645620311,4,1181
8,1,A,Business,Gemini-3-Flash,-0.9910134803503752,4,1295
8,2,A,Business,Gemini-3-Flash,-0.99528460460715,4,1216
9,0,A,Business,Gemini-3-Flash,-0.5315991318318993,5,1333
9,1,A,Business,Gemini-3-Flash,-0.970681277627591,4,1276
9,2,A,Business,Gemini-3-Flash,-0.6128535045543686,5,1417
10,0,A,Foreign,Gemini-3-Flash,-0.516533667780459,5,1357
10,1,A,Foreign,Gemini-3-Flash,0.8758516600355506,5,1370
10,2,A,Foreign,Gemini-3-Flash,0.6075145454145968,5,1318
11,0,A,Foreign,Gemini-3-Flash,0.1748810624703765,4,1184
11,1,A,Foreign,Gemini-3-Flash,0.9560335918213241,4,1134
11,2,A,Foreign,Gemini-3-Flash,0.5249767095956486,4,1137
12,0,A,Foreign,Gemini-3-Flash,-0.9446984746027738,4,1275
12,1,A,Foreign,Gemini-3-Flash,-0.4933577735791914,4,1209
12,2,A,Foreign,Gemini-3-Flash,-0.9263779395259917,4,1267
13,0,A,Foreign,Gemini-3-Flash,-0.6341864303685725,4,1246
13,1,A,Foreign,Gemini-3-Flash,-0.40378500963561237,4,1222
13,2,A,Foreign,Gemini-3-Flash,-0.5153010925278068,4,1157
14,0,A,Foreign,Gemini-3-Flash,-0.027834891108796,4,1253
14,1,A,Foreign,Gemini-3-Flash,0.10068880545441061,4,1172
14,2,A,Foreign,Gemini-3-Flash,-0.5112809594720602,4,1130
15,0,A,Foreign,Gemini-3-Flash,0.36804485972970724,4,1262
