sample_id,rep,prompt_version,news_desk,model,sentiment,n_chunks,word_count
0,0,A,Business,Gemini-2.5-Flash,-0.993931660297676,4,1130
0,1,A,Business,Gemini-2.5-Flash,-0.9855504934093915,4,1155
0,2,A,Business,Gemini-2.5-Flash,-0.9866457401658408,4,1084
1,0,A,Business,Gemini-2.5-Flash,-0.4950871518230997,4,973
1,1,A,Business,Gemini-2.5-Flash,-0.5982049660136303,3,917
1,2,A,Business,Gemini-2.5-Flash,-0.7929104254581034,4,1060
2,0,A,Business,Gemini-2.5-Flash,0.9717977507680189,4,1086
2,1,A,Business,Gemini-2.5-Flash,0.9672773763304576,4,1144
2,2,A,Business,Gemini-2.5-Flash,0.5146657603327185,4,1088
3,0,A,Business,Gemini-2.5-Flash,-0.9047183434013277,4,961
3,1,A,Business,Gemini-2.5-Flash,-0.5344598577357829,4,962
3,2,A,Business,Gemini-2.5-Flash,-0.49858831660822034,4,1072
4,0,A,Business,Gemini-2.5-Flash,-0.9784955495852046,4,1063
4,1,A,Business,Gemini-2.5-Flash,-0.9555105170002207,4,1103
4,2,A,Business,Gemini-2.5-Flash,-0.9881690248730592,4,1032
5,0,A,Business,Gemini-2.5-Flash,0.69707521435339,4,1153
5,1,A,Business,Gemini-2.5-Flash,0.9785179059545044,4,1005
5,2,A,Business,Gemini-2.5-Flash,0.49868149008398177,4,1045
6,0,A,Business,Gemini-2.5-Flash,-0.14566033659502864,4,1160
6,1,A,Business,Gemini-2.5-Flash,-0.5407617255114019,4,971
6,2,A,Business,Gemini-2.5-Flash,-0.8857169434195384,4,1044
7,0,A,Business,Gemini-2.5-Flash,0.1742913474639257,3,987
7,1,A,Business,Gemini-2.5-Flash,-0.39354149205610156,4,1114
7,2,A,Business,Gemini-2.5-Flash,0.41985392570495605,4,1093
8,0,A,Business,Gemini-2.5-Flash,-0.9358700180891901,4,1217
8,1,A,Business,Gemini-2.5-Flash,-0.47715565023827367,4,1004
8,2,A,Business,Gemini-2.5-Flash,-0.9742070192442043,4,1148
9,0,A,Business,Gemini-2.5-Flash,-0.01070843858178705,4,1155
9,1,A,Business,Gemini-2.5-Flash,0.009128853678703308,4,1167
9,2,A,Business,Gemini-2.5-Flash,0.016856150701642036,4,1006
10,0,A,Foreign,Gemini-2.5-Flash,0.956465863273479,4,1218
10,1,A,Foreign,Gemini-2.5-Flash,0.5838870306964964,5,1284
10,2,A,Foreign,Gemini-2.5-Flash,0.9767976301955059,4,1054
11,0,A,Foreign,Gemini-2.5-Flash,0.9559988697292283,4,1111
11,1,A,Foreign,Gemini-2.5-Flash,0.9919904757116456,4,1028
11,2,A,Foreign,Gemini-2.5-Flash,0.7429841513803694,4,1027
12,0,A,Foreign,Gemini-2.5-Flash,-0.9806156467335919,3,939
12,1,A,Foreign,Gemini-2.5-Flash,-0.4891840991040226,4,1066
12,2,A,Foreign,Gemini-2.5-Flash,-0.9875376400887035,4,1047
13,0,A,Foreign,Gemini-2.5-Flash,0.2853875248110853,4,1010
13,1,A,Foreign,Gemini-2.5-Flash,0.41653976088855416,4,1060
13,2,A,Foreign,Gemini-2.5-Flash,0.5605061538517475,4,1171
14,0,A,Foreign,Gemini-2.5-Flash,0.26836867979727685,4,1034
14,1,A,Foreign,Gemini-2.5-Flash,-0.0010580819798633456,4,1245
14,2,A,Foreign,Gemini-2.5-Flash,0.46325535475625657,4,1164
15,0,A,Foreign,Gemini-2.5-Flash,0.937657114234753,4,1027
15,1,A,Foreign,Gemini-2.5-Flash,0.39589934376999736,4,1036
15,2,A,Foreign,Gemini-2.5-Flash,0.6035803723498248,4,1144
16,0,A,Foreign,Gemini-2.5-Flash,0.512746446118399,4,1010
16,1,A,Foreign,Gemini-2.5-Flash,0.2267680843360722,4,1008
16,2,A,Foreign,Gemini-2.5-Flash,0.785287976032123,4,1091
17,0,A,Foreign,Gemini-2.5-Flash,0.614862137241289,4,1250
17,1,A,Foreign,Gemini-2.5-Flash,-0.08159536682069302,4,1234
17,2,A,Foreign,Gemini-2.5-Flash,0.1910100493890544,3,984
18,0,A,Foreign,Gemini-2.5-Flash,0.9264580462671196,3,980
18,1,A,Foreign,Gemini-2.5-Flash,0.9342955260848006,3,906
18,2,A,Foreign,Gemini-2.5-Flash,0.049374290349078365,4,1079
19,0,A,Foreign,Gemini-2.5-Flash,0.9907707500193889,3,876
19,1,A,Foreign,Gemini-2.5-Flash,0.9922572518698871,4,977
