prompt,type,word,log_ratio,gpt_freq,nyt_freq
A,overused,china's,4.602046963279492,246,0
A,overused,navigate,3.9524710310131876,128,0
A,overused,spokesperson,3.9289405336029932,125,0
A,overused,implications,3.737049525792888,311,2
A,overused,commitment,3.625258119804771,185,1
A,overused,addressing,3.487107781323954,80,0
A,overused,raises,3.3693247456675706,71,0
A,overused,complexities,3.3411538687008746,69,0
A,overused,ongoing,3.286094091517847,264,3
A,overused,underscores,3.2670458965471525,64,0
A,overused,wake,3.2357933530430483,62,0
A,overused,observers,3.219793011696607,61,0
A,overused,reflects,3.195301991688311,120,1
A,overused,government's,3.170196070557235,58,0
A,overused,sparked,3.170196070557235,58,0
A,overused,fostering,3.118010317386665,55,0
A,overused,moreover,3.0999918118839864,54,0
A,overused,regarding,3.0723402805534765,106,1
A,overused,dynamics,3.062950540203637,52,0
A,overused,expression,3.043902345232943,51,0
A,underused,advertisement,-5.963587178696793,0,156
A,underused,britain,-4.518259285992709,0,36
A,underused,keith,-4.341328577833631,0,30
A,underused,bradsher,-4.30853875501064,0,29
A,underused,covers,-4.274637203334959,0,28
A,underused,correspondent,-4.257245460623089,1,56
A,underused,supported,-4.215448331944628,2,81
A,underused,dealbook,-4.203178239352813,0,26
A,underused,comment,-4.165437911369967,0,25
A,underused,spokesman,-4.0853952036964305,0,23
A,underused,approved,-3.9518638110719078,0,20
A,underused,editor,-3.9030736469024756,0,19
A,underused,really,-3.7977131312446493,0,17
A,underused,ivory,-3.7405547174047005,0,16
A,underused,six,-3.7405547174047005,0,16
A,underused,vivian,-3.679930095588266,0,15
A,underused,cash,-3.679930095588266,0,15
A,underused,says,-3.679930095588266,0,15
A,underused,biggest,-3.6153915744506944,2,44
A,underused,spring,-3.6153915744506944,0,14
B,overused,china's,4.43097281634136,213,0
B,overused,navigate,4.055429388098245,146,0
B,overused,implications,3.7284358954315757,317,2
B,overused,commitment,3.680117318160768,201,1
B,overused,complexities,3.680117318160768,100,0
B,overused,sparked,3.5975962944727646,92,0
B,overused,fostering,3.564806471649774,89,0
B,overused,moreover,3.507648057809825,84,0
B,overused,addressing,3.4958136001628226,83,0
B,overused,raises,3.4217056280091005,77,0
B,overused,wake,3.4217056280091005,77,0
B,overused,towards,3.299103305916768,68,0
B,overused,ongoing,3.2918305465876885,273,3
B,overused,dynamics,3.2546515433459344,65,0
B,overused,argue,3.2444991718819165,195,2
B,overused,importance,3.2342426717147275,193,2
B,overused,unfolds,3.1425342452252285,58,0
B,overused,spokesperson,3.125439811865928,57,0
B,overused,tiktok's,3.125439811865928,57,0
B,overused,landscape,3.1167817491228136,344,5
B,underused,advertisement,-5.991249004028799,0,156
B,underused,percent,-5.353843806477089,0,82
B,underused,correspondent,-4.978054466515041,0,56
B,underused,tuesday,-4.866828831404817,0,50
B,underused,reporter,-4.719192832598752,0,43
B,underused,keith,-4.368990403165637,0,30
B,underused,bradsher,-4.336200580342647,0,29
B,underused,covers,-4.302299028666965,0,28
B,underused,joined,-4.267207708855695,0,27
B,underused,palau,-4.267207708855695,0,27
B,underused,dealbook,-4.23084006468482,0,26
B,underused,comment,-4.193099736701973,0,25
B,underused,give,-4.113057029028437,0,23
B,underused,spokesman,-4.113057029028437,0,23
B,underused,biggest,-4.048518507890866,1,44
B,underused,london,-4.026045652038807,0,21
