sample_id,rep,prompt_version,news_desk,model,vader_compound
0,0,A,Business,GPT-4o-mini,0.8762333333333333
0,1,A,Business,GPT-4o-mini,-0.018166666666666664
0,2,A,Business,GPT-4o-mini,-0.07473333333333328
1,0,A,Business,GPT-4o-mini,0.039366666666666696
1,1,A,Business,GPT-4o-mini,-0.46995000000000003
1,2,A,Business,GPT-4o-mini,0.19533333333333333
2,0,A,Business,GPT-4o-mini,0.5224333333333333
2,1,A,Business,GPT-4o-mini,0.8058333333333333
2,2,A,Business,GPT-4o-mini,0.9212999999999999
3,0,A,Business,GPT-4o-mini,0.36033333333333334
3,1,A,Business,GPT-4o-mini,-0.2787
3,2,A,Business,GPT-4o-mini,-0.48163333333333336
4,0,A,Business,GPT-4o-mini,0.9502
4,1,A,Business,GPT-4o-mini,0.79465
4,2,A,Business,GPT-4o-mini,0.6377333333333334
5,0,A,Business,GPT-4o-mini,0.9491666666666667
5,1,A,Business,GPT-4o-mini,0.739725
5,2,A,Business,GPT-4o-mini,0.9611333333333333
6,0,A,Business,GPT-4o-mini,0.01277499999999998
6,1,A,Business,GPT-4o-mini,0.689625
6,2,A,Business,GPT-4o-mini,0.7933
7,0,A,Business,GPT-4o-mini,0.8679333333333333
7,1,A,Business,GPT-4o-mini,0.659775
7,2,A,Business,GPT-4o-mini,0.7345
8,0,A,Business,GPT-4o-mini,0.033333333333333326
8,1,A,Business,GPT-4o-mini,0.5672333333333334
8,2,A,Business,GPT-4o-mini,0.8209333333333334
9,0,A,Business,GPT-4o-mini,0.13916666666666666
9,1,A,Business,GPT-4o-mini,0.009366666666666634
9,2,A,Business,GPT-4o-mini,0.5384666666666668
10,0,A,Foreign,GPT-4o-mini,-0.042866666666666685
10,1,A,Foreign,GPT-4o-mini,0.80195
10,2,A,Foreign,GPT-4o-mini,0.07437499999999998
11,0,A,Foreign,GPT-4o-mini,0.3645333333333333
11,1,A,Foreign,GPT-4o-mini,0.6285749999999999
11,2,A,Foreign,GPT-4o-mini,0.49803333333333333
12,0,A,Foreign,GPT-4o-mini,-0.5373333333333333
12,1,A,Foreign,GPT-4o-mini,-0.7924000000000001
12,2,A,Foreign,GPT-4o-mini,-0.9512
13,0,A,Foreign,GPT-4o-mini,0.7151333333333333
13,1,A,Foreign,GPT-4o-mini,0.23934999999999998
13,2,A,Foreign,GPT-4o-mini,0.25786666666666663
14,0,A,Foreign,GPT-4o-mini,0.9395000000000001
14,1,A,Foreign,GPT-4o-mini,0.38905
14,2,A,Foreign,GPT-4o-mini,0.37633333333333335
15,0,A,Foreign,GPT-4o-mini,0.8154666666666666
15,1,A,Foreign,GPT-4o-mini,0.20706666666666665
15,2,A,Foreign,GPT-4o-mini,-0.1647666666666667
16,0,A,Foreign,GPT-4o-mini,-0.232375
16,1,A,Foreign,GPT-4o-mini,0.26795
16,2,A,Foreign,GPT-4o-mini,-0.010199999999999987
17,0,A,Foreign,GPT-4o-mini,0.84775
17,1,A,Foreign,GPT-4o-mini,0.8263750000000001
17,2,A,Foreign,GPT-4o-mini,0.9632333333333333
18,0,A,Foreign,GPT-4o-mini,0.97535
18,1,A,Foreign,GPT-4o-mini,0.9883000000000001
18,2,A,Foreign,GPT-4o-mini,0.967
19,0,A,Foreign,GPT-4o-mini,0.9434
19,1,A,Foreign,GPT-4o-mini,0.9238
19,2,A,Foreign,GPT-4o-mini,0.8835000000000001
0,0,B,Business,GPT-4o-mini,0.5564333333333332
0,1,B,Business,GPT-4o-mini,0.6707666666666666
0,2,B,Business,GPT-4o-mini,0.6887666666666666
1,0,B,Business,GPT-4o-mini,0.30215000000000003
1,1,B,Business,GPT-4o-mini,-0.43110000000000004
1,2,B,Business,GPT-4o-mini,0.8667000000000001
2,0,B,Business,GPT-4o-mini,0.9567
2,1,B,Business,GPT-4o-mini,0.6414749999999999
2,2,B,Business,GPT-4o-mini,0.678825
3,0,B,Business,GPT-4o-mini,-0.9512666666666667
3,1,B,Business,GPT-4o-mini,0.42217499999999997
3,2,B,Business,GPT-4o-mini,-0.14170000000000002
4,0,B,Business,GPT-4o-mini,0.677525
4,1,B,Business,GPT-4o-mini,0.794925
4,2,B,Business,GPT-4o-mini,0.6475000000000001
5,0,B,Business,GPT-4o-mini,0.741125
5,1,B,Business,GPT-4o-mini,0.74525
5,2,B,Business,GPT-4o-mini,0.98385
6,0,B,Business,GPT-4o-mini,0.723375
6,1,B,Business,GPT-4o-mini,0.8831
6,2,B,Business,GPT-4o-mini,0.9059999999999999
7,0,B,Business,GPT-4o-mini,0.8621333333333334
7,1,B,Business,GPT-4o-mini,0.7124
7,2,B,Business,GPT-4o-mini,0.9610666666666666
8,0,B,Business,GPT-4o-mini,-0.36446666666666666
8,1,B,Business,GPT-4o-mini,0.32206666666666667
8,2,B,Business,GPT-4o-mini,0.34443333333333337
9,0,B,Business,GPT-4o-mini,0.662425
9,1,B,Business,GPT-4o-mini,0.7143499999999999
9,2,B,Business,GPT-4o-mini,0.5851000000000001
10,0,B,Foreign,GPT-4o-mini,0.33662499999999995
10,1,B,Foreign,GPT-4o-mini,0.51225
10,2,B,Foreign,GPT-4o-mini,0.8901
11,0,B,Foreign,GPT-4o-mini,0.679575
11,1,B,Foreign,GPT-4o-mini,0.9075
11,2,B,Foreign,GPT-4o-mini,0.3551666666666667
12,0,B,Foreign,GPT-4o-mini,-0.9777666666666667
12,1,B,Foreign,GPT-4o-mini,-0.080375
12,2,B,Foreign,GPT-4o-mini,-0.7702
13,0,B,Foreign,GPT-4o-mini,-0.009833333333333324
13,1,B,Foreign,GPT-4o-mini,0.32470000000000004
13,2,B,Foreign,GPT-4o-mini,0.1413333333333333
14,0,B,Foreign,GPT-4o-mini,0.48406666666666665
14,1,B,Foreign,GPT-4o-mini,0.79715
14,2,B,Foreign,GPT-4o-mini,0.8908999999999999
15,0,B,Foreign,GPT-4o-mini,0.537675
15,1,B,Foreign,GPT-4o-mini,0.32583333333333336
15,2,B,Foreign,GPT-4o-mini,0.36380000000000007
